,Text,Tags
1,STR NNNNNNN,['Receipt_Number']
2,STR NNNNNNNN,['Receipt_Number']
3,STR NNNNNNNNN,['Receipt_Number']
4,STR NNNNNNNNNN,['Receipt_Number']
5,STR NNNNNNNNNNN,['Receipt_Number']
6,STR NNNNNNNNNNNN,['Receipt_Number']
7,STR NNNNNNNNNNNNN,['Receipt_Number']
8,STR SCO NNNNNNN,['Receipt_Number']
9,STR SCO NNNNNNNN,['Receipt_Number']
10,STR SCO NNNNNNNNN,['Receipt_Number']
11,STR SCO NNNNNNNNNN,['Receipt_Number']
12,STR SCO NNNNNNNNNNN,['Receipt_Number']
13,STR SCO NNNNNNNNNNNN,['Receipt_Number']
14,STR SCO NNNNNNNNNNNNN,['Receipt_Number']
15,STR STR SCO NNNNNNN,['Receipt_Number']
16,STR STR SCO NNNNNNNN,['Receipt_Number']
17,STR STR SCO NNNNNNNNN,['Receipt_Number']
18,STR STR SCO NNNNNNNNNN,['Receipt_Number']
19,STR STR SCO NNNNNNNNNNN,['Receipt_Number']
20,STR STR SCO NNNNNNNNNNNN,['Receipt_Number']
21,STR STR SCO NNNNNNNNNNNNN,['Receipt_Number']
22,STR STR STR SCO NNNNNNN,['Receipt_Number']
23,STR STR STR SCO NNNNNNNN,['Receipt_Number']
24,STR STR STR SCO NNNNNNNNN,['Receipt_Number']
25,STR STR STR SCO NNNNNNNNNN,['Receipt_Number']
26,STR STR STR SCO NNNNNNNNNNN,['Receipt_Number']
27,STR STR STR SCO NNNNNNNNNNNN,['Receipt_Number']
28,STR STR STR SCO NNNNNNNNNNNNN,['Receipt_Number']
29,STR SFS STR SCO STR STR SC STR STR  SFS STR STR N STR STR STR SPS STR SPE,['Address']
30,STR  STR SCO STR STR SC STR STR SFS STR STR STR N STR STR STR STR SH STR STR SFS,['Address']
31,STR  STR SCO STR STR SC STR STR SFS STR STR STR N STR STR STR STR SH STR STR SFS,['Address']
32,STR SFS STR SCO STR STR SC STR STR  SFS STR STR N STR STR STR SPS STR SPE,['Address']
33,STR  STR SCO STR STR SC STR STR SFS STR STR STR N STR STR STR STR SH STR STR SFS,['Address']
34,STR  STR SCO STR STR SC STR STR SFS STR STR STR N STR STR STR STR SH STR STR SFS,['Address']
35,STR SFS STR SCO STR STR SC STR STR  SFS STR SC STR N STR STR STR SPS STR SPE,['Address']
36,STR  STR SCO STR STR SC STR STR SFS STR STR SC STR N STR STR STR STR SH STR STR SFS,['Address']
37,STR  STR SCO STR STR SC STR STR SFS STR STR SC STR N STR STR STR STR SH STR STR SFS,['Address']
38,STR STR NN QSKG STR NN QSPC QSMX NN CUR,['Item']
39,STR STR NN QSS STR NN SH NN QSPC QSMX NN CUR,['Item']
40,STR STR NN QSG STR NN QSPC QSMX NN CUR,['Item']
41,STR STR STR NN QSKG STR NN QSMX NN CUR,['Item']
42,STR STR STR STR NN QSG  QSPC QSMX NN CUR,['Item']
43,STR STR STR NN QSG NN QSPC QSMX NN CUR,['Item']
44,STR STR STR STR NN QSG  QSPC QSMS NN CUR,['Item']
45,STR STR NN QSG STR NN QSPC QSMS NN CUR,['Item']
46,STR STR NN QSS STR NN SH NN QSPC QSMS NN CUR,['Item']
47,STR STR NN QSKG STR NN QSPC QSMS NN CUR,['Item']
48,STR STR STR NN QSG STR NN QSMS NN CUR,['Item']
49,STR STR STR STR NN QSKG QSPC QSMS NN CUR,['Item']
50,STR STR STR NN QSG NN QSPC QSMS NN CUR,['Item']
51,STR STR NN QSS STR NN SH NN QSPC QSMS NN CUR,['Item']
52,STR STR NN QSKG STR NN QSPC NN QSP NN CUR,['Item']
53,STR STR STR NN QSG STR NN QSP NN CUR,['Item']
54,STR STR STR STR NN QSKG NN QSP QSMS NN CUR,['Item']
55,STR STR STR SCO NN NN,['Item']
56,STR STR STR SCO NN NN CUR,['Item']
57,STR STR STR STR SCO NN NN,['Item']
58,STR STR STR STR STR SCO NN NN CUR,['Item']
59,STR NN CUR,['Total']
60,STR STR NN CUR,['Total']
61,STR NN SC NN CUR,['Total']
62,STR STR NN SC NN CUR,['Total']
63,STR STR SFS CUR,['Total']
64,STR NN SFS NN CUR,['Total']
65,STR STR NN SFS NN CUR,['Total']
66,STR STR STR NN SFS NN CUR,['Total']
