,Text,Tags
1,"Jur. adrese: Riga, A. Deglava iela 161 Rimi Super Bérnu Pasaule (Riga)",['Address']
2,"SOLDEN BOWL TERIYAK Ia 8510 GARFIELD AVE. SOUTH GATE, CA. 90280 TEL: (832) g28-s999",['Address']
3,"GREEN FIELD 5305 E PACIFIC COAST HWY Long Beach, CA 90804 (S62) 597-0906",['Address']
4,"GOLDEN BOWL TERIYAKI 8610 GARFIELD AVE. SOUTH GATE, CA. 90280 TEL: (562) 928-8999",['Address']
5,Dona Mercedes Restaurant 1030 1/2 San Fernando Rd San Fernando CA 91341,['Address']
6,"Katana Sushi 2616 Hewitt Ave Everett, WA 96201 425-512-9361",['Address']
7,"Be sitar ner Blvd 15700 Be ower Bly Bellflower, CA 90706",['Address']
8,22 Haverhill Rd Windham NH 603-437-7251,['Address']
9,1902 Jericho Tumpike New Hyde Park NY 11040 Tel: 516 354.2858 Fax 516.776.0587,['Address']
10,"New Asia Buffet 14727.5 Rinaldi st San Fernando, CA 9134 Tel ;(818)898-0880",['Address']
11,Thai Gusto Restaurant 2011 Hewitt Ave Everett WA 98201 Tel. 425-252-3525 Fax. 425-252-3525,['Address']
12,"HAWWI ETHIOPIAN RESTAU 1125 QUEEN ST ALEXANDRIA, VA 22314 4 7037179740",['Address']
13,"Deocan Spice 771 Newark Avenue Jersey City Local, NJ 07306 (201) 604-1772",['Address']
14,"6030 Renaissance Parkway Durham, NC 27713 (984) 329-2900",['Address']
15,"WINGS & THINGS 1717 DUTCH BRDY ELMONT, NY 11003 THANKS CALL AGAIN 516-341-7075",['Address']
16,"Aelsone to Yogurt land 12502 North Kendall Drive imi, FL 33186 (305) 279-3478",['Address']
17,"4 Copeland F gton, (817) 543-0544 www .Pappadeaux .com",['Address']
18,"1084 Yonkers Avenue Yonkers, NY 10704 (914) 237-5055",['Address']
19,"YONKERS, NY Dig 914-237-5083",['Address']
20,"Ka Makana Ali‘1 91-5431 Kapolei Parkway, Suite 426 Kapolei, HI 96707 (808) 628-4771",['Address']
21,"Daily Gril 2501 Colorado Ave Santa Monica, CA 90404",['Address']
22,"BIG Jo's 1955 BROADWAY Jan 25, 2018 SANTA MONICA, CA 90404 11:47 AM (310) 828-3191",['Address']
23,FUSION “I W 147 AVE UNIT 36 MIAML FL 33196 (4888,['Address']
24,"Araxi Burger Aventura 17861 BISCAYNE BLYD Aventura, FL 33160",['Address']
25,"285-41 Jericho Turnpike Floral Park, NY 11001 Tel: 718.343-4816",['Address']
26,"GENERAL POOR’S TAVERN 45 MAIN STREET HACKENSACK, NJ 07601 (201)487-5882",['Address']
27,"FALMOUTH RAW BAR 56 Secranton Ave. Falmouth, MA 0250 (508) 548-7729",['Address']
28,"NAANCHING 103 MONTGOMERRY St JERSEY CITY, NJ 07302",['Address']
29,"SURATI FARSAN MART 11814 186TH STREET ARTESIA, CA 90701 562-860-2310",['Address']
30,35201 Newark Blvd. Newark CA 94560 510-818-1136,['Address']
31,"18911 Lake Chabot December 29 2018 Road 2:01PM Castro Valley, CA",['Address']
32,"Mexican Restaurant & Bar 25 West San Fernando St. San Jose, CA 95113 (408) 283-9595",['Address']
33,8012 Georgia Ave. Silver Sting. ™D20910,['Address']
34,"204 Spring St New York, NY 10012 (646) 756-4000 (646) 657-0514 (Fax)",['Address']
35,"KAZ RAMEN 22413 BARTON ROAD GRAND TERRACE, CA 92313 909422953",['Address']
36,16725 Stony Plain Rd Edmonton AB TSP 449 Store: 3659 Tele: 780-414-6362,['Address']
37,"0 Monge 280 46661 stanford Ranch Rd. Rocklin, CA 95677 916-622-0028",['Address']
38,"The Place 2 Be 615 Franklin Ave Hartford, CT 06114 8609047891 https://www.Place2BeCT.com",['Address']
39,"COLUMBUS RESTAURANT 736 OCEAN DRIVE MIAMI BEACH, FL 33139 TEL: 786-275-6944",['Address']
40,"1236 S Wolfe Rd Sunnyvale, CA 94086 (408) 737-1222 chelokababi.com",['Address']
41,"T?rbatas iela 6/8-43, Centra rajons, R?ga, LV-1050",['Address']
42,"Zigfr?da Annas Meierovica bulv?ris 18, Centra rajons, R?ga, LV-1050",['Address']
43,"Mer?e?a iela 1, Centra rajons, R?ga, LV-1050",['Address']
44,"Gun?ra Astras iela 17, Vidzemes priekšpils?ta, R?ga, LV-1082",['Address']
45,"Lub?nas iela 76B, Latgales priekšpils?ta, R?ga, LV-1073",['Address']
46,"Krasta iela 101A, Latgales priekšpils?ta, R?ga, LV-1019",['Address']
47,"Maskavas iela 257b, Latgales priekšpils?ta, R?ga, LV-1063",['Address']
48,"Skandu iela 2, Kurzemes rajons, R?ga, LV-1067",['Address']
49,"Vien?bas gat. 115A, Zemgales priekšpils?ta, R?ga, LV-1058",['Address']
50,"Br?v?bas iela 372A, Vidzemes priekšpils?ta, R?ga, LV-1006",['Address']
51,"Lielirbes iela 29, Zemgales priekšpils?ta, R?ga, LV-1046",['Address']
52,"Juglas iela 2, Vidzemes priekšpils?ta, R?ga, LV-1024",['Address']
53,"K?r?a Ulma?a gatve 88A, Zemgales priekšpils?ta, R?ga, LV-1046",['Address']
54,"Juglas iela 95, Vidzemes priekšpils?ta, R?ga, LV-1079",['Address']
55,"Br?v?bas bulv?ris 1, Jelgava, LV-3002",['Address']
56,"Br?v?bas iela 90, Centra rajons, R?ga, LV-1001",['Address']
57,"Krišj??a Barona iela 44, Centra rajons, R?ga, LV-1011",['Address']
58,"Br?v?bas iela 62, Centra rajons, R?ga, LV-1011",['Address']
59,"Mer?e?a iela 6-4, Centra rajons, R?ga, LV-1050",['Address']
60,"Skanstes iela 7, Vidzemes priekšpils?ta, R?ga, LV-1013",['Address']
61,"Stacijas laukums 2, Centra rajons, R?ga, LV-1050",['Address']
62,"Va??u iela 31/33, Centra rajons, R?ga, LV-1050",['Address']
63,"Š???u iela 3, Centra rajons, R?ga, LV-1050",['Address']
64,"Kato?u iela 4, Latgales priekšpils?ta, R?ga, LV-1003",['Address']
65,"Dzelzavas iela 3, Vidzemes priekšpils?ta, R?ga, LV-1084",['Address']
66,"Krasta iela 85, Latgales priekšpils?ta, R?ga, LV-1003",['Address']
67,"?zenes iela 5, Kurzemes rajons, R?ga, LV-1048",['Address']
68,"A, Augusta Deglava iela 110, R?ga, LV-1082",['Address']
69,"Br?v?bas iela 299, Vidzemes priekšpils?ta, R?ga, LV-1006",['Address']
70,"M?kusalas iela 95, Zemgales priekšpils?ta, R?ga, LV-1004",['Address']
71,"Maz? Renc?nu 1, Latgales priekšpils?ta, R?ga, LV-1073",['Address']
72,"Andreja Saharova iela 28, Latgales priekšpils?ta, R?ga, LV-1021",['Address']
73,"Vien?bas gat. 77, Zemgales priekšpils?ta, R?ga, LV-1004",['Address']
74," Br?v?bas iela 372, Vidzemes priekšpils?ta, R?ga, LV-1006",['Address']
75,"Br?v?bas iela 388, Vidzemes priekšpils?ta, R?ga, LV-1024",['Address']
76,"Dzirnavu iela 67, Centra rajons, R?ga, LV-1011",['Address']
77,"Aud?ju iela 16-050, Centra rajons, R?ga, LV-1050",['Address']
78,"Ieri?u iela 3-084, Vidzemes priekšpils?ta, R?ga, LV-1084",['Address']
79,"Krasta iela 46-003, Latgales priekšpils?ta, R?ga, LV-1003",['Address']
80,"Br?v?bas iela 372-006, Vidzemes priekšpils?ta, R?ga, LV-1006",['Address']
81,"Automaš?nu st?vvieta, M?kusalas iela 71, Zemgales priekšpils?ta, R?ga, LV-1004",['Address']
82,"Lielirbes iela 29-046, Zemgales priekšpils?ta, R?ga, LV-1046",['Address']
83,"M?kusalas iela 71, Zemgales priekšpils?ta, R?ga, LV-1004",['Address']
84,"Bikeru jela 4, Dreilini Stopinu pag., Ropazu nov., LV-2130",['Address']
85,"Liepu aleia 4, Ramava Kekavas pag. , Kekavas nov., LV-2100",['Address']
86,"Juridiska adrese: Nol iktavu iela 7,Dreilin', Stopinu pagasts, Ropazu_novads LV-2190",['Address']
87,"Jur. adrese: Riga, A. Deglava iela 161 Rimi Super Bérnu pasaule (Riga)",['Address']
88,"Express Building, Railway Station, No 14E, IMC Marg, opposite Churchgate, Mumbai, Maharashtra 400020, India",['Address']
89,"No 13, 30, Ajmal Khan Rd, Block 13, WEA, Karol Bagh, New Delhi, Delhi 110005, India",['Address']
90,"CONNAUGHT PLACE, No E8, Ground & Mezzanine Floor, Rajiv Chowk, Connaught Place, New Delhi, Delhi 110001, India",['Address']
91,"Ground Floor, Western House, Andheri - Kurla Rd, Andheri East, Mumbai, Maharashtra 400069, India",['Address']
92,"No 2, Asha Gallery, 111, Commercial Street, Anugraha Layout, Langford Town, Shanti Nagar, Bengaluru, Karnataka 560001, India",['Address']
93,"Unit No 502, 5th Flr, Centre Square Mall, Mahatma Gandhi Rd, Shenoys, Ernakulam, Kerala 682035, India",['Address']
94,"Unit F, 40 / 41, Lal Bahadur Shastri Rd, Kamani, Kurla West, Kurla, Mumbai, Maharashtra 400070, India",['Address']
95,"Ground & Mezzanine Level, Paud Rd, Pune, Maharashtra 411038, India",['Address']
96,"S No 4 & 5, GF, Valentina Business Hub, LP Savani Rd, Adajan, Surat, Gujarat 395009, India",['Address']
97,"Society Food Court, HT Mall, Hoshiarpur Bypass, Piplan Wala, Hoshiarpur, Punjab 146022, India",['Address']
98,"Unit 104A, 105 to 107, MPM Millennium Wajihuddin Estate, Himayat Nagar Rd, Hyderabad, Telangana 500001, India",['Address']
99,"SCO 43, 44, Madhya Marg, Sector 8C, Sector 8, Chandigarh, 160009, India",['Address']
100,"Unit No 540R, Arneja Tower, Rainbow Rd, Model Town, Jalandhar, Punjab 144003, India",['Address']
101,"Shop No MGRO 02, Concourse Level, Mehrauli-Gurgaon Rd, near DMRC Metro Station, Sector 28, Gurugram, Haryana 122022, India",['Address']
102,"No 59/1, HRBR Layout CMR Circle, 4th Cross, Kammanahalli Main Rd, Bengaluru, Karnataka 560043, India",['Address']
103,"Amanora Mall, EB FF6A & 6B, 1st Floor, Amanora Town Centre, Pune, Maharashtra 411028, India",['Address']
104,"GROUND FLOOR, GT Central Mall, Plot No 4, SHOP NO.3-4, Jawahar Lal Nehru Marg, Malviya Nagar, Jaipur, Rajasthan 302017, India",['Address']
105,"Unit No 158 & 160, Esplanade Building, Dr, DNA Rd, near VT Station, Mumbai, Maharashtra 400001, India",['Address']
106,"UN F1 to F3 & F3A, 1st Floor, City Mall, Jhalawar Road, Kota, Rajasthan 324005, India",['Address']
107,"Scindia House, No 6 & 7, Connaught Cir, Connaught Place, New Delhi, Delhi 110001, India",['Address']
108,"Street Number 4, Block F, Kalkaji, New Delhi, Delhi 110019, India",['Address']
109,"Survey No 124, Ground Floor, Gachibowli, Serilingampalle (M), Telangana 500034, India",['Address']
110,"No 96, Ground Floor, Chandra Layout Main Rd, next to HP Petrol Pump, Bengaluru, Karnataka 560040, India",['Address']
111,"Shop No 10 to, 12, Hazaribag Rd, Siromtoli Chowk, Ranchi, Jharkhand 834001, India",['Address']
112,"Plot No, 18, Sir Thyagaraya Rd, Parthasarathi Puram, T. Nagar, Chennai, Tamil Nadu 600017, India",['Address']
113,"Bus Terminus, Shop No 15, L&L Corial Pride Building, Panaji - Farmagudi - Margao Hwy Bypass Rd, near Kadamba, Margao, Goa 403601, India",['Address']
114,"G1, G2, Ground Floor, Eternity Mall, Variety Square, Sitabuldi, Nagpur, Maharashtra 440012, India",['Address']
115,"No 11/309/1/2, Survey No 9/1 Kothapet X Road, RR, Saroornagar, Telangana 500035, India",['Address']
116,"Plot No 5, 87/92, Lakshmipuram Main Rd, Lakshmipuram, Guntur, Andhra Pradesh 522007, India",['Address']
117,"Kenilworth Mall, Linking Rd, Bandra West, Mumbai, Maharashtra 400050, India",['Address']
118,"Caculo Mall, St Inez Rd, opposite Fire HQ, Caculo Enclave, Santa Inez, Panaji, Goa 403001, India",['Address']
119,"Shop No 89/15/16/17/18 NH 1, Road, Grand Trunk Rd, Karnal, Haryana 132001, India",['Address']
120,"3rd Floor Nucleus Mall, Circular Rd, Lalpur, Ranchi, Jharkhand 834001, India",['Address']
121,"No 5A, Old Bellevue Hotel, Nehru Rd, Darjeeling, West Bengal 734101, India",['Address']
122,"No 1, World Trade Park, Food Court Level, Block B, Malviya Nagar, Jaipur, Rajasthan 302018, India",['Address']
